# 657cb661-3f6c-4ab6-a733-a5c468d374bd
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 9.3980408; 3.2998268; 0.0632012; -1.0292799; 3.4144745; -3.0637621
0.0499511; 9.3955845; 3.3497890; 0.0459550; 0.3207555; 3.3693560; 2.3166715
0.0999022; 9.3929366; 3.3996023; 0.0564565; -0.0405437; 3.4035276; 2.2558514
0.1498533; 9.3901662; 3.4494560; 0.0552107; 0.0133085; 3.4364756; 2.1966281
0.1998043; 9.3873879; 3.4993553; 0.0560123; 0.0146794; 3.4682578; 2.1389596
0.2497554; 9.3845595; 3.5492158; 0.0576626; 0.0539030; 3.4989283; 2.0828051
0.2997065; 9.3816371; 3.5990769; 0.0588002; -0.0153057; 3.5285373; 2.0281248
0.3496576; 9.3787135; 3.6489494; 0.0586136; 0.0152118; 3.5571323; 1.9748800
0.3996087; 9.3757704; 3.6988109; 0.0591762; 0.0034150; 3.5847573; 1.9230331
0.4495598; 9.3728166; 3.7486756; 0.0590710; -0.0071818; 3.6114540; 1.8725473
0.4995108; 9.3698726; 3.7985397; 0.0590057; 0.0066985; 3.6372615; 1.8233870
0.5494619; 9.3669250; 3.8484044; 0.0588682; -0.0158506; 3.6622168; 1.7755172
0.5994130; 9.3639991; 3.8982702; 0.0586035; 0.0105593; 3.6863545; 1.7289042
0.6493641; 9.3610699; 3.9481304; 0.0584095; -0.0254498; 3.7097077; 1.6835150
0.6993152; 9.3581868; 3.9980039; 0.0571708; -0.0186455; 3.7323073; 1.6393173
0.7492663; 9.3553505; 4.0478756; 0.0565556; -0.0059795; 3.7541829; 1.5962800
0.7992173; 9.3525365; 4.0977424; 0.0560943; -0.0151229; 3.7753624; 1.5543725
0.8491684; 9.3497588; 4.1476178; 0.0551055; -0.0240899; 3.7958723; 1.5135653
0.8991195; 9.3470344; 4.1974982; 0.0541413; -0.0118075; 3.8157378; 1.4738294
0.9490706; 9.3443440; 4.2473726; 0.0536449; -0.0098544; 3.8349828; 1.4351366
0.9990217; 9.3416868; 4.2972474; 0.0525589; -0.0373208; 3.8536303; 1.3974597
1.0489728; 9.3391148; 4.3471416; 0.0503898; -0.0464746; 3.8717019; 1.3607719
1.0989238; 9.3366451; 4.3970348; 0.0489073; -0.0060216; 3.8892184; 1.3250473
1.1488749; 9.3342124; 4.4469152; 0.0483045; -0.0286957; 3.9061996; 1.2902606
1.1988260; 9.3318438; 4.4968160; 0.0464670; -0.0416460; 3.9226643; 1.2563871
1.2487771; 9.3295700; 4.5467149; 0.0448225; -0.0191775; 3.9386306; 1.2234029
1.2987282; 9.3273603; 4.5966184; 0.0433989; -0.0467075; 3.9541157; 1.1912847
1.3486793; 9.3252457; 4.6465213; 0.0416698; -0.0104931; 3.9691363; 1.1600097
1.3986303; 9.3231861; 4.6964329; 0.0402989; -0.0608984; 3.9837082; 1.1295557
1.4485814; 9.3212408; 4.7463457; 0.0382433; 0.0005503; 3.9978464; 1.0999013
1.4985325; 9.3193387; 4.7962564; 0.0372372; -0.0668439; 4.0115656; 1.0710253
1.5484836; 9.3175602; 4.8461808; 0.0345506; -0.0152332; 4.0248796; 1.0429075
1.5984347; 9.3158536; 4.8961033; 0.0333655; -0.0529725; 4.0378020; 1.0155278
1.6483858; 9.3142495; 4.9460243; 0.0313401; -0.0096011; 4.0503454; 0.9888670
1.6983369; 9.3127023; 4.9959543; 0.0300559; -0.0627644; 4.0625224; 0.9629061
1.7482879; 9.3112735; 5.0458847; 0.0277848; -0.0035974; 4.0743447; 0.9376267
1.7982390; 9.3098958; 5.0958133; 0.0267227; -0.0660332; 4.0858237; 0.9130110
1.8481901; 9.3086419; 5.1457548; 0.0240566; -0.0141944; 4.0969705; 0.8890415
1.8981412; 9.3074572; 5.1956856; 0.0229550; -0.0521310; 4.1077956; 0.8657014
1.9480923; 9.3063789; 5.2456288; 0.0204684; -0.0320134; 4.1183091; 0.8429739
1.9980434; 9.3053937; 5.2955713; 0.0188548; -0.0414715; 4.1285209; 0.8208432
2.0479944; 9.3045040; 5.3455080; 0.0168763; -0.0323038; 4.1384404; 0.7992934
2.0979455; 9.3037054; 5.3954628; 0.0148666; -0.0555117; 4.1480767; 0.7783094
