# 20f2117a-1759-41dc-8785-296f8273fe53
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.8903917; -0.0604003; -1.4331395; 0.1727155; 3.1985188; 2.6115305
0.0498355; 1.9393046; -0.0541445; -1.4632281; -0.6626775; 3.2389530; 2.2911000
0.0996710; 1.9896019; -0.0490063; -1.4660904; 0.3583860; 3.2740148; 2.4831186
0.1495065; 2.0388476; -0.0435391; -1.4580967; -0.0383894; 3.3115960; 2.4180796
0.1993420; 2.0884810; -0.0379584; -1.4593754; -0.0197249; 3.3477874; 2.3547442
0.2491776; 2.1379842; -0.0324647; -1.4615617; -0.0619406; 3.3826587; 2.2930676
0.2990131; 2.1875348; -0.0270879; -1.4634663; -0.0194561; 3.4162746; 2.2330066
0.3488486; 2.2370829; -0.0217938; -1.4656414; -0.0687441; 3.4486952; 2.1745186
0.3986841; 2.2866612; -0.0166792; -1.4709994; -0.1427493; 3.4799763; 2.1175627
0.4485196; 2.3362620; -0.0118697; -1.4768498; -0.0938253; 3.5101702; 2.0620985
0.4983551; 2.3858875; -0.0073212; -1.4821375; -0.1190147; 3.5393256; 2.0080871
0.5481906; 2.4355460; -0.0030917; -1.4902625; -0.2056399; 3.5674885; 1.9554903
0.5980261; 2.4852367; 0.0006901; -1.4988522; -0.1408342; 3.5947016; 1.9042713
0.6478616; 2.5349574; 0.0040732; -1.5073579; -0.1990546; 3.6210054; 1.8543937
0.6976971; 2.5847120; 0.0069766; -1.5178683; -0.2227065; 3.6464380; 1.8058226
0.7475327; 2.6344884; 0.0093519; -1.5280383; -0.1899409; 3.6710350; 1.7585237
0.7973682; 2.6842996; 0.0112056; -1.5399880; -0.2810346; 3.6948304; 1.7124636
0.8472037; 2.7341275; 0.0124157; -1.5525910; -0.2333846; 3.7178562; 1.6676100
0.8970392; 2.7839633; 0.0130144; -1.5653189; -0.2688748; 3.7401427; 1.6239312
0.9468747; 2.8338012; 0.0129649; -1.5780806; -0.2540536; 3.7617185; 1.5813964
0.9967102; 2.8836314; 0.0122686; -1.5917987; -0.2951099; 3.7826109; 1.5399758
1.0465457; 2.9334673; 0.0108376; -1.6075061; -0.3266045; 3.8028458; 1.4996400
1.0963812; 2.9832457; 0.0086040; -1.6238660; -0.3418442; 3.8224478; 1.4603608
1.1462167; 3.0329814; 0.0055174; -1.6419824; -0.3760552; 3.8414402; 1.4221104
1.1960522; 3.0826483; 0.0014996; -1.6614132; -0.4194154; 3.8598453; 1.3848618
1.2458878; 3.1322282; -0.0035537; -1.6835870; -0.4549240; 3.8776844; -2.3232216
1.2957233; 3.1816510; -0.0097341; -1.7073349; -0.5106200; 3.8477108; -7.5395502
1.3455588; 3.2309302; -0.0171717; -1.7344183; -0.5801819; 3.7487870; -7.5385793
1.3953943; 3.2799612; -0.0260096; -1.7639176; -0.5958758; 3.6471943; -6.3201840
1.4452298; 3.3287251; -0.0363557; -1.7968800; -0.7110038; 3.5597875; -6.3124124
1.4950653; 3.3770849; -0.0483804; -1.8322235; -0.7350654; 3.4702914; -5.5278898
1.5449008; 3.4249612; -0.0621837; -1.8715357; -0.8259754; 3.3899782; -5.0522048
1.5947363; 3.4722517; -0.0779539; -1.9144008; -0.8950740; 3.3148746; -4.7010281
1.6445718; 3.5187838; -0.0958115; -1.9605562; -0.9566184; 3.2434299; -4.6803071
1.6944073; 3.5643904; -0.1158531; -2.0093637; -0.9908743; 3.1707012; -4.0642746
1.7442429; 3.6089339; -0.1381428; -2.0610314; -1.0852927; 3.1061642; -3.5397627
1.7940784; 3.6522663; -0.1628417; -2.1175243; -1.1729379; 3.0488431; -3.3691170
1.8439139; 3.6940481; -0.1899854; -2.1767350; -1.2260959; 2.9932659; -2.8659068
1.8937494; 3.7340797; -0.2196164; -2.2399574; -1.3158327; 2.9451643; -2.5386158
1.9435849; 3.7721013; -0.2518179; -2.3075753; -1.3863399; 2.9018901; -2.1623323
1.9934204; 3.8077898; -0.2865604; -2.3785982; -1.4617086; 2.8645147; -2.1159881
